"","고객번호","여행시나이대_만","성별.x","FIT등급","PKG이용등급","고객번호.1","SMS수신여부.Y.N.","닷컴회원.Y.N.","예약입력구분2단계명","상품브랜드명","지역구분1단계명","지역구분2단계명","상품속성2단계명","상품생성일","상품출발일","출발요일","출발시간","상품출발시간","유류할증료포함.Y.N.","출발항공","예약_취소여부","취소리드타임.출발전.","취소리드타임.확정전.","최초예약상태코드","패키지랜드구분","예약코드","최종예약확정일자","예약시간","리드타임구간명","상품취소일","상품취소요일","상품가격특성명","PKG.등급.코드","성별.y","결혼여부","재구매소요기간구분코드","불만횟수","총상품금액","평균리드타임","총PKG이용건수","PKG상위등급","PKG상위등급필요건수"
"2",77140729,"59to63","M","6_무등급","3_우수",77140729,"Y","Y","닷컴SCO","하나팩","동남아","동남아[ASIA]","패키지","2018-06-29","2019-01-01","화",1710,"17:10","Y","LJ","Y",NA,NA,"WT","P","RP1827151706","2018-12-04",12,"21일~30일","","","일반가격","B","M","N","1Y",0,6988000,27,5,"V",0
"3",77216603,"39to43","F","6_무등급","3_우수",77216603,"Y","Y","닷컴SCO","하나팩","동남아","동남아[ASIA]","패키지","2018-08-02","2019-01-01","화",700,"22:00","Y","ZA","Y",NA,NA,"WT","P","RP1827368110","2018-12-20",23,"11일~20일","","","일반가격","V","F","N","1Y",0,10982060,24,8,"P",3
